,Unnamed: 0,address
56,56,"Санкт-Петербург, Заневский пр., д. 73, лит. А, часть здания Ладожского вокзала на 2 этаже, часть пом. 1-Н (4130-4132, 4134-4138)"
57,57,"Санкт-Петербург, Загородный пр., д. 52, лит. А, часть здания Витебского вокзала на 2 этаже, пом. № 216-223"
58,58,"Санкт-Петербург, наб. Обводного канала, дом 120, лит. Б, часть здания Балтийского вокзала на 1 этаже, пом. 15-Н № 1-7"
59,59,"Санкт-Петербург, ул. Октябрьская, д. 5, часть здания вокзала Великий Новгород на 1 этаже, пом. № 12, 13"
60,60,"Санкт-Петербург, пр. Советский, дом 57/10, лит. А"
61,61,"Санкт-Петербург, пр. Карла Маркса,д. 5а"
62,62,"Санкт-Петербург, 121 км, ПК 4, направление Санкт-Петербург - Нарва, лит. Б., часть здания дома отдыха локомотивных бригад на 1 этаже, пом. № 7, 8"
63,63,"Санкт-Петербург, станция Луга, ул. Железнодорожная, дом № 4, лит. А, часть здания дома отдыха локомотивных бригад в производственно-технологическом комплексе Локомотивного депо Санкт-Петербург-Варшавский - структурное подразделение Санкт-Петербург-Витебского отделения Октябрьской железной дороги на 1 этаже пом. № 3"
64,64,"Санкт-Петербург, ул. Театральная, д. 6/7, лит. А, часть административного здания - контора ПЧ на 1 этаже, пом. № 25, 26, 27, 28"
65,65,"Санкт-Петербург, Боровая улица, д. 116, лит. А, часть здания заводоуправления, главного материального склада, подстанции трансформаторной, проходной на 1 этаже, пом. № 20-29"
66,66,"Санкт-Петербург, станция Гатчина-Товарная-Балтийская, лит. А, часть здания дома отдыха локомотивных бригад на 1 этаже пом. 13-14"
67,67,"Санкт-Петербург, Московский пр., Д. 28, лит. А, пом. 63, 15"
68,68,"Санкт-Петербург, пр. Стачек, д. 100, лит. А, пом. 5-Н (ч.п. 100-110)"
69,69,"Санкт-Петербург, пр. энгельса, д. 162, лит. А, пом. 1-Н ч.п. 97-108"
70,70,"Санкт-Петербург, 5-й Рыбацкий проезд, д. 18, лит. Б, пом. 1-Н, ч.п. 2-13"
71,71,"Санкт-Петербург, Витебский пр., д. 107, литер И, пом. 4-Н, ч.п. 2-8"
72,72,"Санкт-Петербург, пр. Среднегаванский, д. 9, лит. А, часть пом. 2-Н (пом. 1, 2, 3, 13, 14, 15, 16, 17, 18, 19, 20, 21)"
73,73,"Санкт-Петербург, участок Ж.Д.""Обводный канал-улица Грибакина""участок Ж.Д. ""Улица Юннатов-дорога на Петро-Славянку"" ул.Сортировочная-Московская, д.2 лит.30 ч.здания дома отдыха локомотивных бригад на 1-ом этаже в производственно-технологическом копмлексе локомотивного депо Санкт-Петербург Сортировочный-Московский на станции Санкт-Петербург Сортировочный-московский"
74,74,"Санкт-Петербург, Трамвайный пр., д. 22, лит. А, кор. 2"
75,75,"Санкт-Петербург, Среднегаванский пр., д. 9, лит. А, ч.п. 2- (пом. 1, 2, 3, 13, 14, 15, 16, 17, 18, 19, 20, 21)"
76,76,"Санкт-Петербург, ул. Урицкого, д. 90, часть служ. Зд. С перех. На 1 этаже в произв. Корпусе тосненской механ. Тист. Пцути на станции Тосно (пом. 25 и 27)"
77,77,"Санкт-Петербург, ул. Революции, д. 12, лит. 4, ч.зд. Админ. Здания на 1 этаже в призводственно-технологическом комплексе Моторованонного депо Санкт-Петербург Московское на станции Малая Вишера Моторовагонного депо Санкт-Петербургского отделения Октябрьской ЖД - филиала ОАО ""РЖД"""
78,78,"Санкт-Петербург, станция Чудово км 117 пк 3, лит. Г. часть здания дежурного депо на 1 этаже в производственно-технологическом комплексе локомотивного депо Санкт-Петербург-сортировочный-Московский Санкт-Петербургского Отделения Октябрьской железной долроги - филиала ОА ""РЖД"""
79,79,"Санкт-Петербург, ул. Красноармейская, д. 2"
80,80,"Санкт-Петербург, шоссе Пельгорское, д. 20, лит. Б, часть здания на 2 этаже, пом. № 13, 14, 15, 16, 17"
81,81,"Санкт-Петербург, база ПМС № 83, лит. А, часть здания административно-юытового корпуса на 2 этаже пом. 27, 28"
82,82,"Санкт-Петербург, ул. Косая, уч. 17, лит. А, часть здания гаража для ремонта машин с административным зданием на 1 этаже, пом. 4, 5, 6, 7"
83,83,"Санкт-Петербург, Невский пр., д. 85, лит. А, ч. зд. Московского вокзала, на 1 этаже пом. 34-Н № 1-17"
84,84,"Санкт-Петербург, Заневский пр., д. 73, лит. А, часть здания Ладожского вокзала на 2 этаже пом. 1-Н, № 4130-4132, 4134-4138"
85,85,"Санкт-Петербург, наб. Обводного канала, д. 120, лит. Б, часть здания Балтийского вокзала на 1 этаже, пом. 15-Н № 1-7"
86,86,"Санкт-Петербург, ул. Октябрьская, д. 5, часть здания вокзала Великий Новогрод на 1 этаже, пом. № 12, 13"
87,87,"Санкт-Петербург, пр. Советский, дом 57/10 лит. А"
88,88,"Санкт-Петербург, Воскресенский бульвар, д. 5а"
89,89,"Санкт-Петербург, 121 км ПК 4, направление Санкт-Петербург-Нарва, лит. Б, часть здания дома отдыха локомотивных бригад на 1 этаже, пом. № 7, 8"
90,90,"Санкт-Петербург, ул. Театральная, лд. 6/7, лит. А, часть административного здания - контора ПЧ на 1 этаже пом. № 25, 26, 27, 28"
91,91,"Санкт-Петербург, станция Луга, ул. Желенодорожная, д. 4, лит. А, часть здания дома отдыха локомотивных бригад на 1 этаже, пом. № 3"
92,92,"Санкт-Петербург, Боровая улица, д. 116, лит. а, часть здания заводоуправления, главного материального склада, подстанции трансформаторной, проходной на 1 этаже, пом. № 20-29"
93,93,"Санкт-Петербург, станция Гатчина-Товарная-Балтийская, лит. а, часть здания дома отдыха локомотивных бригад на 1 этаже пом. 13, 14"
94,94,"Санкт-Петербург, Трамвайный пр., д. 22, лит. А, кор. 2, ч.п. 7-Н (пом. 10-12, 15-16, 24-26, 33-44, 82-85, 87, 89-90, 94-98, 101, 103-105, 108-109, 112-115, 120-153, 155-158, 160-161, 163-164, 167-168, 179-184, 187-189, 190-195, 197-200, 212-215, 221-224, 226-228, 230-235, 237, 238, 240-242, 244-252, 256-261, 262-266, 277-279, 280, 286-288, 294-297, 300-301, 304-310, 317, 322-324, 327-329, 331-333, 348, 359-361)"
95,95,"Санкт-Петербург, Трамвайный пр., д. 22, лит. А, кор. 2, ч.п. 7-Н (пом. 13, 23, 54-55, 82-85, 89-90, 140, 143-145, 147, 150-153, 155-158, 160-161, 163-164, 197-200, 212-215, 221-224, 226, 237, 240-242, 262-266, 277-279, 281, 286-288, 294-297, 304, 306-308, 310, 317, 319, 319а, 322-324, 336, 344, 347-348, 362)"
96,96,"Санкт-Петербург, Трамвайный пр., д. 22, лит. А, кор. 2, ч.п. 7-Н (пом. 10, 12, 54, 55, 83-85, 94-98, 101-105, 108, 109, 112-115, 120-124, 126-130, 140, 143, 164, 182-184, 187,212-214, 221-223, 278-279, 240, 286, 294-296, 317)"
97,97,"Санкт-Петербург, пр. Стачек, дом 47, литер Ф, пом. 1-Н, 2-Н(ч.п. 1, 2, 29, 30), 4-Н (ч.п. 1-29, 32-39), 5-Н, 6-Н, 7-Н, 8-Н"
98,98,"Санкт-Петербург, улица Боровая, д. 55, лит. А"
99,99,"Санкт-Петербург, ул. Пионерская, д. 63, лит. А, ч. Пом. 1Н (пом. 1-3, 5-7, 1, 18, ч. Пом. 20 и МОП)"
